Country,1990,2005,2017,2021
World,22674.120,30049.810,37077.400,37857.580
World – International Aviation,258.941,422.777,543.381,
World – International Shipping,371.804,572.169,677.248,
Afghanistan,2.546,1.063,11.422,8.350
Albania,6.583,4.196,5.026,4.590
Algeria,65.677,98.197,159.929,173.000
Angola,5.851,15.975,30.876,24.450
Anguilla,0.006,0.014,0.028,0.030
Antigua and Barbuda,0.223,0.283,0.624,0.780
Argentina,112.434,165.429,209.968,189.000
Armenia,20.699,4.542,4.832,6.770
Aruba,0.297,0.470,0.959,1.270
Australia,275.408,391.590,402.253,367.910
Austria,62.918,80.994,72.249,66.010
Azerbaijan,58.077,30.485,32.544,37.110
Bahamas,1.524,2.068,2.997,4.040
Bahrain,11.988,23.388,35.775,37.490
Bangladesh,13.868,38.834,84.546,106.870
Barbados,0.776,2.162,3.172,1.770
Belarus,109.069,61.396,62.340,58.360
Belgium,115.903,118.708,104.221,95.920
Belize,0.188,0.440,0.440,0.640
Benin,0.415,2.839,7.097,8.630
Bermuda,0.335,0.284,0.429,0.820
Bhutan,0.208,0.515,1.454,1.980
Bolivia,6.287,9.998,20.462,22.430
Bosnia and Herzegovina,24.559,16.890,25.618,15.370
Botswana,2.818,4.465,7.913,7.000
Brazil,228.603,380.765,492.791,489.860
British Virgin Islands,0.026,0.032,0.149,0.180
Brunei,3.397,5.174,6.711,7.210
Bulgaria,82.271,52.032,49.568,43.640
Burkina Faso,0.380,1.038,3.399,5.290
Burundi,0.210,0.307,0.289,0.710
Cambodia,0.407,2.686,10.560,16.960
Cameroon,7.097,5.520,9.768,10.200
Canada,455.827,581.267,617.301,563.540
Cape Verde,0.049,0.227,0.955,0.920
Cayman Islands,0.148,0.188,0.493,0.860
Central African Republic,0.159,0.246,0.486,0.280
Chad,0.268,0.383,0.925,2.210
Chile,32.654,59.747,90.325,85.700
China,2397.050,6263.060,10877.220,12466.320
Colombia,51.919,60.610,74.954,77.570
Comoros,0.049,0.115,0.206,0.280
Congo,0.902,4.359,5.514,7.370
Cook Islands,0.043,0.058,0.047,0.110
Costa Rica,2.913,6.306,8.138,8.090
Croatia,25.164,23.634,17.466,18.000
Cuba,37.109,26.165,31.277,24.610
Curaçao,5.474,4.774,7.519,2.040
Cyprus,4.540,7.883,7.035,6.750
Czech Republic,162.835,127.157,109.756,97.690
Democratic Republic of the Congo,3.441,2.589,3.496,3.370
Denmark,53.705,51.485,33.573,27.280
Djibouti,1.101,1.469,1.014,0.610
Dominica,0.033,0.035,0.122,0.190
Dominican Republic,8.024,19.409,23.111,27.730
East Timor,0.130,0.272,0.422,0.570
Ecuador,16.119,28.320,39.507,41.140
Egypt,90.783,176.329,258.668,259.320
El Salvador,2.633,6.905,7.857,8.180
Equatorial Guinea,0.097,3.371,2.469,7.000
Eritrea,0.214,0.688,0.737,0.840
Estonia,38.467,19.643,17.890,14.910
Eswatini,0.602,1.541,1.247,1.510
Ethiopia,2.390,5.327,14.900,19.210
European Union,4409.340,4250.000,3548.350,2774.930
Falkland Islands,0.013,0.016,0.038,0.050
Faroe Islands,0.001,0.002,0.002,0.002
Fiji,1.028,2.174,1.440,1.730
Finland,57.242,58.360,46.846,38.990
France  Monaco,386.214,408.158,338.193,302.330
French Guiana,0.371,0.491,0.719,0.840
French Polynesia,0.839,0.785,0.636,0.970
Gabon,4.857,6.394,6.564,5.520
Georgia,34.745,4.979,11.558,11.650
Germany,1018.100,837.284,796.529,665.880
Ghana,3.195,7.329,18.626,23.640
Gibraltar,0.144,0.406,0.627,0.670
Greece,79.201,104.835,72.145,53.370
Greenland,0.003,0.631,0.518,0.460
Grenada,0.075,0.125,0.280,0.340
Guadeloupe,0.875,1.035,2.257,1.810
Guatemala,3.874,11.674,17.760,20.190
