Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
Argentina,ARG,1995,,,,,,,0.093313456
Argentina,ARG,1997,,,,,,,0.04756402
Argentina,ARG,2008,,,,,,,0.18295087
Argentina,ARG,2009,,,,,,,0.103090174
Argentina,ARG,2012,,,,,,,0.12029985
Argentina,ARG,2013,,,,,,,0.121463545
Argentina,ARG,2014,,,,,,,0.10593209
Argentina,ARG,2015,,,,,,,0.10131913
Argentina,ARG,2017,,,,,,,0.10674668
Argentina,ARG,2018,,,,,,,0.073628254
Argentina,ARG,2019,,,,,,,0.06686089
Argentina,ARG,2020,,,,,,,0.07474015
Argentina,ARG,2021,,,,,,,0.07245677
Argentina,ARG,2022,,,,,,,0.053053137
Argentina,ARG,2023,,,,,,,0.08810607
Australia,AUS,2010,,,,0.468477,,,0.14074405
Australia,AUS,2011,,,,0.47568122,,,0.12066279
Australia,AUS,2012,,,,0.2876433,,,0.117526695
Australia,AUS,2013,,,,0.16478086,,,0.09493786
Australia,AUS,2014,,,,0.13556309,,,0.09217363
Australia,AUS,2015,,,,0.11651525,,,0.07789126
Australia,AUS,2016,,,,0.08941767,,,0.074648425
Australia,AUS,2017,,,,0.09789906,,,0.060128517
Australia,AUS,2018,,,,0.080330506,,,0.047702402
Australia,AUS,2019,,,,0.07662897,,,0.045239095
Australia,AUS,2020,,,,0.057686467,,,0.051009405
Australia,AUS,2021,,,,0.045411125,,,0.034006577
Australia,AUS,2022,,,,0.04136547,,,0.03348369
Australia,AUS,2023,,,,0.037894744,,,0.04224214
Australia,AUS,1998,,,,,,,0.27102926
Australia,AUS,2000,,,,,,,0.10784246
Australia,AUS,2001,,,,,,,0.077383414
Australia,AUS,2002,,,,,,,0.104364514
Australia,AUS,2003,,,,,,,0.10456048
Australia,AUS,2004,,,,,,,0.20986347
Australia,AUS,2005,,,,,,,0.0983953
Australia,AUS,2006,,,,,,,0.093825735
Australia,AUS,2007,,,,,,,0.08248753
Australia,AUS,2008,,,,,,,0.10973935
Australia,AUS,2009,,,,,,,0.083145216
Austria,AUT,1995,,,,,,,0.16214484
Austria,AUT,1996,,,,,,,0.19099654
Austria,AUT,1998,,,,,,,0.16029768
Austria,AUT,1999,,,,,,,0.13719414
Austria,AUT,2000,,,,,,,0.09845663
Austria,AUT,2012,,,,,,,0.12070477
Austria,AUT,2013,,,,,,,0.18375696
Austria,AUT,2014,,,,,,,0.11360011
Austria,AUT,2015,,,,,,,0.10094953
Austria,AUT,2016,,,,,,,0.08940166
Austria,AUT,2017,,,,,,,0.077994674
Austria,AUT,2018,,,,,,,0.067004085
Austria,AUT,2022,,,,,,,0.060362365
Austria,AUT,2023,,,,,,,0.045740724
Brazil,BRA,2018,,,,0.11695923,,,0.049496822
Brazil,BRA,2019,,,,0.109339535,,,0.036891848
Brazil,BRA,2020,,,,0.08818533,,,0.034825347
Brazil,BRA,2021,,,,0.055232543,,,0.025414452
Brazil,BRA,2022,,,,0.053580776,,,0.024128623
Brazil,BRA,2023,,,,0.059229974,,,0.024517072
Brazil,BRA,2001,,,,,,,0.15408203
Brazil,BRA,2002,,,,,,,0.13056467
Brazil,BRA,2003,,,,,,,0.14837888
Brazil,BRA,2005,,,,,,,0.13923298
Brazil,BRA,2006,,,,,,,0.10048402
Brazil,BRA,2007,,,,,,,0.106062785
Brazil,BRA,2008,,,,,,,0.08582111
Brazil,BRA,2009,,,,,,,0.12337347
Brazil,BRA,2010,,,,,,,0.119881496
Brazil,BRA,2011,,,,,,,0.096760474
Brazil,BRA,2012,,,,,,,0.09533592
Brazil,BRA,2013,,,,,,,0.08251961
Brazil,BRA,2014,,,,,,,0.07179612
Brazil,BRA,2015,,,,,,,0.06012175
Brazil,BRA,2016,,,,,,,0.058254257
Brazil,BRA,2017,,,,,,,0.049190313
Canada,CAN,2018,,,,0.17656672,,,0.059128582
Canada,CAN,2019,,,,0.11470057,,,0.06155256
Canada,CAN,2020,,,,0.0953463,,,0.039067306
Canada,CAN,2021,,,,0.08083892,,,0.03161378
Canada,CAN,2022,,,,0.0685226,,,0.0330477
Canada,CAN,2023,,,,0.10096706,,,0.0364282
Canada,CAN,1990,,,,,,,0.21158269
Canada,CAN,1992,,,,,,,0.20122306
Canada,CAN,1993,,,,,,,0.065094985
Canada,CAN,1994,,,,,,,0.09986086
Canada,CAN,1996,,,,,,,0.1679361
Canada,CAN,1999,,,,,,,0.1675273
Canada,CAN,2000,,,,,,,0.13879846
Canada,CAN,2001,,,,,,,0.104695685
Canada,CAN,2002,,,,,,,0.09892697
Canada,CAN,2003,,,,,,,0.099891774
Canada,CAN,2004,,,,,,,0.09791671
Canada,CAN,2005,,,,,,,0.086682536
Canada,CAN,2006,,,,,,,0.09506437
Canada,CAN,2007,,,,,,,0.1062614
Canada,CAN,2008,,,,,,,0.10852042
Canada,CAN,2009,,,,,,,0.10783635
Canada,CAN,2010,,,,,,,0.120905295
Canada,CAN,2011,,,,,,,0.106693566
Canada,CAN,2012,,,,,,,0.11833319
Canada,CAN,2013,,,,,,,0.10882938
Canada,CAN,2014,,,,,,,0.097295746
Canada,CAN,2015,,,,,,,0.08729971
Canada,CAN,2016,,,,,,,0.093398675
Canada,CAN,2017,,,,,,,0.07491259
Chile,CHL,2012,,,,0.20686625,,,0.099560685
Chile,CHL,2013,,,,0.15350488,,,0.09803309
Chile,CHL,2014,,,,0.15101504,,,0.09663379
Chile,CHL,2015,,,,0.10458148,,,0.092069924
Chile,CHL,2016,,,,0.09608844,,,0.07790328
Chile,CHL,2017,,,,0.0924281,,,0.07349195
Chile,CHL,2018,,,,0.12254484,,,0.05459322
Chile,CHL,2019,,,,0.09770224,,,0.077947
Chile,CHL,2020,,,,0.06606045,,,0.04213342
Chile,CHL,2021,,,,0.047098354,,,0.042359356
Chile,CHL,2022,,,,0.043029886,,,0.054845035
Chile,CHL,2023,,,,0.04092146,,,0.0491518
Chile,CHL,2009,,,,,,,0.21262757
Chile,CHL,2011,,,,,,,0.14177871
China,CHN,2010,,,,0.3397311,,,0.0898432
China,CHN,2011,,,,0.2968567,,,0.0847689
China,CHN,2012,,,,0.2176879,,,0.083292864
China,CHN,2013,,,,0.17065278,,,0.07785012
China,CHN,2014,,,,0.12738074,,,0.07346631
China,CHN,2015,,,,0.09465705,,,0.068152785
China,CHN,2016,,,,0.08199834,,,0.06296075
China,CHN,2017,,,,0.07167083,,,0.049538113
China,CHN,2018,,,,0.0547309,,,0.051917423
China,CHN,2019,,,,0.050607853,,,0.040322375
China,CHN,2020,,,,0.043007273,,,0.03711008
China,CHN,2021,,,,0.036775313,,,0.029920662
China,CHN,2022,,,,0.03793418,,,0.027677663
China,CHN,2023,,,,0.0356469,,,0.02597236
China,CHN,1996,,,,,,,0.19843915
China,CHN,1997,,,,,,,0.19843915
China,CHN,1998,,,,,,,0.18204457
China,CHN,1999,,,,,,,0.17799926
China,CHN,2000,,,,,,,0.16262665
China,CHN,2001,,,,,,,0.1357861
China,CHN,2002,,,,,,,0.1529177
China,CHN,2003,,,,,,,0.10706321
China,CHN,2004,,,,,,,0.11307001
China,CHN,2005,,,,,,,0.110695824
China,CHN,2006,,,,,,,0.10503291
China,CHN,2007,,,,,,,0.0919734
China,CHN,2008,,,,,,,0.09733014
China,CHN,2009,,,,,,,0.09864473
Costa Rica,CRI,1999,,,,,,,0.081609316
Costa Rica,CRI,2003,,,,,,,0.06429922
Costa Rica,CRI,2009,,,,,,,0.09998714
Costa Rica,CRI,2011,,,,,,,0.10210448
Costa Rica,CRI,2012,,,,,,,0.14069152
Costa Rica,CRI,2014,,,,,,,0.07204051
Costa Rica,CRI,2015,,,,,,,0.0701293
Costa Rica,CRI,2016,,,,,,,0.079915635
Costa Rica,CRI,2017,,,,,,,0.049941573
Croatia,HRV,2008,,,,,,,0.21615434
Croatia,HRV,2009,,,,,,,0.17049761
Croatia,HRV,2011,,,,,,,0.16446108
Croatia,HRV,2012,,,,,,,0.13553014
Croatia,HRV,2014,,,,,,,0.17279315
Croatia,HRV,2015,,,,,,,0.09374647
Croatia,HRV,2016,,,,,,,0.092128135
Croatia,HRV,2017,,,,,,,0.06850714
Croatia,HRV,2020,,,,,,,0.051719014
Croatia,HRV,2021,,,,,,,0.04912897
Croatia,HRV,2023,,,,,,,0.053865306
Cyprus,CYP,2010,,,,,,,0.14232714
Cyprus,CYP,2011,,,,,,,0.14459424
Cyprus,CYP,2012,,,,,,,0.17941059
Cyprus,CYP,2013,,,,,,,0.20980588
Cyprus,CYP,2016,,,,,,,0.114976816
Denmark,DNK,1984,,,,,,,0.25911242
Denmark,DNK,1985,,,,,,,0.24290606
Denmark,DNK,1986,,,,,,,0.23528205
Denmark,DNK,1987,,,,,,,0.22432663
Denmark,DNK,1988,,,,,,,0.23478027
Denmark,DNK,1989,,,,,,,0.2139084
Denmark,DNK,1990,,,,,,,0.21491805
Denmark,DNK,1991,,,,,,,0.2033537
Denmark,DNK,1992,,,,,,,0.1995838
Denmark,DNK,1993,,,,,,,0.20040123
Denmark,DNK,1995,,,,,,,0.16642834
Denmark,DNK,1996,,,,,,,0.16206442
Denmark,DNK,1997,,,,,,,0.16640817
Denmark,DNK,1998,,,,,,,0.1697969
Denmark,DNK,1999,,,,,,,0.16653103
Denmark,DNK,2000,,,,,,,0.1811129
Denmark,DNK,2001,,,,,,,0.17450462
Denmark,DNK,2002,,,,,,,0.12778346
Denmark,DNK,2003,,,,,,,0.1025468
Denmark,DNK,2004,,,,,,,0.09127134
Denmark,DNK,2005,,,,,,,0.1072514
Denmark,DNK,2006,,,,,,,0.13316874
Denmark,DNK,2008,,,,,,,0.12886173
Denmark,DNK,2010,,,,,,,0.13000609
Denmark,DNK,2011,,,,,,,0.12697269
Denmark,DNK,2012,,,,,,,0.09847028
Denmark,DNK,2013,,,,,,,0.096297465
Denmark,DNK,2015,,,,,,,0.068130344
Denmark,DNK,2016,,,,,,,0.05979699
Denmark,DNK,2017,,,,,,,0.049367573
Denmark,DNK,2018,,,,,,,0.047097605
Denmark,DNK,2019,,,,,,,0.04847739
Denmark,DNK,2020,,,,,,,0.042880036
Dominican Republic,DOM,2007,,,,,,,0.1059088
Dominican Republic,DOM,2009,,,,,,,0.07512201
Dominican Republic,DOM,2011,,,,,,,0.07978583
Dominican Republic,DOM,2012,,,,,,,0.121262714
Dominican Republic,DOM,2013,,,,,,,0.083321884
Dominican Republic,DOM,2014,,,,,,,0.15709393
Dominican Republic,DOM,2016,,,,,,,0.08873673
Dominican Republic,DOM,2017,,,,,,,0.056566123
Dominican Republic,DOM,2018,,,,,,,0.07547323
Dominican Republic,DOM,2019,,,,,,,0.056661863
Dominican Republic,DOM,2020,,,,,,,0.06296693
Egypt,EGY,2007,,,,,,,0.05114385
Egypt,EGY,2010,,,,,,,0.07552539
Egypt,EGY,2015,,,,,,,0.06925564
Egypt,EGY,2018,,,,,,,0.06171438
Egypt,EGY,2020,,,,,,,0.049837373
Egypt,EGY,2021,,,,,,,0.04699624
Egypt,EGY,2022,,,,,,,0.045408104
Egypt,EGY,2023,,,,,,,0.052319117
Ethiopia,ETH,2011,,,,,,,0.11379773
Ethiopia,ETH,2012,,,,,,,0.106665276
Ethiopia,ETH,2015,,,,,,,0.09541671
Ethiopia,ETH,2016,,,,,,,0.09748323
Ethiopia,ETH,2019,,,,,,,0.06621285
Ethiopia,ETH,2022,,,,,,,0.05024303
Finland,FIN,2013,,,,,,,0.06829611
Finland,FIN,2014,,,,,,,0.08874435
Finland,FIN,2015,,,,,,,0.082962915
Finland,FIN,2016,,,,,,,0.068987355
Finland,FIN,2017,,,,,,,0.059592478
Finland,FIN,2018,,,,,,,0.05242186
Finland,FIN,2019,,,,,,,0.029541304
Finland,FIN,2020,,,,,,,0.034113903
Finland,FIN,2021,,,,,,,0.03903348
Finland,FIN,2022,,,,,,,0.04258393
Finland,FIN,2023,,,,,,,0.042577766
France,FRA,2010,,,,0.43740276,,,0.145576
France,FRA,2011,,,,0.44417167,,,0.12821157
France,FRA,2012,,,,0.4510151,,,0.11400307
France,FRA,2013,,,,0.26712745,,,0.10327834
France,FRA,2014,,,,0.17752011,,,0.09440617
France,FRA,2015,,,,0.124211594,,,0.08825351
France,FRA,2016,,,,0.09758267,,,0.080847956
France,FRA,2017,,,,0.08729436,,,0.08870931
France,FRA,2018,,,,0.073557205,,,0.0689726
France,FRA,2019,,,,0.06742594,,,0.05642465
France,FRA,2020,,,,0.059671696,,,0.04961903
France,FRA,2021,,,,0.052645672,,,0.048487153
France,FRA,2022,,,,0.06316348,,,0.05124806
France,FRA,2023,,,,0.056981575,,,0.048364606
France,FRA,1991,,,,,,,0.22119935
France,FRA,1993,,,,,,,0.23472615
France,FRA,1996,,,,,,,0.21482751
France,FRA,1997,,,,,,,0.19988674
France,FRA,1998,,,,,,,0.19780676
France,FRA,1999,,,,,,,0.18936154
France,FRA,2000,,,,,,,0.15013187
France,FRA,2001,,,,,,,0.15274441
France,FRA,2002,,,,,,,0.15766531
France,FRA,2003,,,,,,,0.12205886
France,FRA,2004,,,,,,,0.1375233
France,FRA,2005,,,,,,,0.1356971
France,FRA,2006,,,,,,,0.13680883
France,FRA,2007,,,,,,,0.12855428
France,FRA,2008,,,,,,,0.17314151
France,FRA,2009,,,,,,,0.1427378
Germany,DEU,2010,,,,0.41471833,,,0.15329427
Germany,DEU,2011,,,,0.35013598,,,0.1464289
Germany,DEU,2012,,,,0.28174362,,,0.1302937
Germany,DEU,2013,,,,0.22242926,,,0.12161368
Germany,DEU,2014,,,,0.16358331,,,0.10831947
Germany,DEU,2015,,,,0.1299696,,,0.09722085
Germany,DEU,2016,,,,0.11371165,,,0.087551475
Germany,DEU,2017,,,,0.1034886,,,0.08466308
Germany,DEU,2018,,,,0.099056564,,,0.07098055
Germany,DEU,2019,,,,0.08142049,,,0.058368925
Germany,DEU,2020,,,,0.06960916,,,0.049786605
Germany,DEU,2021,,,,0.06371161,,,0.05452931
Germany,DEU,2022,,,,0.08131669,,,0.055945158
Germany,DEU,2023,,,,0.06261388,,,0.053256687
Germany,DEU,1984,,,,,,,0.27491817
Germany,DEU,1990,,,,,,,0.23897445
Germany,DEU,1991,,,,,,,0.22622341
Germany,DEU,1992,,,,,,,0.2457013
Germany,DEU,1993,,,,,,,0.24044102
Germany,DEU,1994,,,,,,,0.18135314
Germany,DEU,1995,,,,,,,0.22207743
Germany,DEU,1996,,,,,,,0.2039165
Germany,DEU,1997,,,,,,,0.20255385
Germany,DEU,1998,,,,,,,0.18881097
Germany,DEU,1999,,,,,,,0.20103559
Germany,DEU,2000,,,,,,,0.1981016
Germany,DEU,2001,,,,,,,0.20675893
Germany,DEU,2002,,,,,,,0.16471961
Germany,DEU,2003,,,,,,,0.1504469
Germany,DEU,2004,,,,,,,0.15057644
Germany,DEU,2005,,,,,,,0.15582809
Germany,DEU,2006,,,,,,,0.16026694
Germany,DEU,2007,,,,,,,0.14732122
Germany,DEU,2008,,,,,,,0.1770652
Germany,DEU,2009,,,,,,,0.16367452
Greece,GRC,2018,,,,0.118496664,,,0.08396957
Greece,GRC,2020,,,,0.055786636,,,0.07109032
Greece,GRC,2021,,,,0.051439166,,,0.057690915
Greece,GRC,2022,,,,0.072998255,,,0.05014845
Greece,GRC,2023,,,,0.052289248,,,0.04644396
Greece,GRC,2010,,,,,,,0.14845318
Greece,GRC,2011,,,,,,,0.09846944
Greece,GRC,2012,,,,,,,0.118394196
